城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
朝阳市,1.0,1.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,8.0,9.0,14.0,16.0,19.0,30.0,40,50,64,92,134,244,385,534,647,708,915,1047,1178,1310,1442,1573
本溪市,3.0,3.0,4.0,5.0,5.0,5.0,6.0,7.0,8.0,9.0,11.0,12.0,13.0,13.0,16.0,19,28,40,54,70,98,149,185,220,259,299,338,377,415,454,493
来宾市,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,8.0,17.0,26,34,39,49,70,110,168,238,299,360,414,471,528,585,643,700
杭州市,141.0,188.0,257.0,332.0,419.0,532.0,648.0,775.0,916.0,1099.0,1389.0,1659.0,1959.0,2334.0,3021.0,3894,5063,6632,8782,11618,19739,28786,37565,47332,56093,64499,73411,82323,91235,100147,109059
松原市,,,,,,,,,3.0,7.0,7.0,9.0,14.0,17.0,23.0,33,46,61,79,105,145,230,309,393,482,532,606,680,754,828,902
枣庄市,7.0,8.0,9.0,11.0,16.0,20.0,23.0,25.0,28.0,34.0,40.0,46.0,51.0,58.0,87.0,129,188,250,337,478,937,1581,2156,2780,3100,3916,4498,5080,5663,6245,6827
柳州市,10.0,11.0,14.0,18.0,19.0,24.0,26.0,34.0,39.0,47.0,57.0,67.0,85.0,111.0,155.0,203,278,370,485,603,952,1453,1919,2265,2475,3155,3584,4013,4442,4871,5300
株洲市,5.0,6.0,10.0,13.0,18.0,24.0,28.0,32.0,38.0,42.0,48.0,54.0,61.0,74.0,113.0,145,187,232,279,387,498,716,1056,1569,2109,2589,3100,3611,4121,4632,5143
桂林市,7.0,14.0,14.0,14.0,16.0,21.0,27.0,33.0,38.0,46.0,52.0,70.0,82.0,110.0,143.0,187,235,295,362,460,710,1150,1496,1821,2052,2531,2881,3232,3583,3934,4285
梅州市,3.0,4.0,4.0,5.0,5.0,9.0,9.0,12.0,13.0,17.0,23.0,29.0,36.0,44.0,58.0,72,94,137,170,224,318,506,707,936,1118,1394,1623,1852,2081,2310,2539
梧州市,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,8.0,10.0,11.0,17.0,19.0,29,44,53,76,105,185,346,479,548,630,805,923,1041,1159,1277,1395
榆林市,3.0,4.0,6.0,7.0,11.0,14.0,22.0,27.0,33.0,39.0,51.0,67.0,93.0,112.0,155.0,208,287,360,455,566,840,1287,1691,2286,2747,3368,3921,4474,5027,5580,6133
武威市,1.0,1.0,1.0,2.0,4.0,4.0,5.0,7.0,8.0,9.0,9.0,12.0,15.0,18.0,22.0,30,55,75,101,129,152,214,275,368,462,545,635,725,814,904,994
武汉市,114.0,148.0,190.0,231.0,298.0,356.0,422.0,521.0,627.0,742.0,898.0,1103.0,1331.0,1602.0,2167.0,2761,3504,4456,5774,7804,9864,16332,23098,33155,44451,53206,63238,73270,83302,93334,103366
毕节市,,,,,,1.0,1.0,1.0,2.0,3.0,4.0,7.0,9.0,11.0,19.0,26,42,56,78,112,167,273,484,793,1129,1411,1720,2029,2338,2647,2956
永州市,,,1.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,9.0,11.0,13.0,15.0,25.0,35,57,75,100,145,183,264,456,681,934,1131,1356,1582,1807,2032,2257
汉中市,2.0,3.0,4.0,5.0,6.0,6.0,9.0,12.0,13.0,17.0,19.0,22.0,24.0,33.0,46.0,67,86,116,147,190,304,500,716,937,1189,1379,1600,1821,2042,2263,2484
汕头市,16.0,21.0,24.0,31.0,32.0,34.0,40.0,50.0,53.0,59.0,76.0,87.0,93.0,113.0,125.0,155,199,266,332,407,533,813,1069,1377,1652,1967,2266,2565,2864,3164,3463
汕尾市,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,7.0,9.0,17.0,25,33,43,56,81,129,249,389,518,646,776,905,1034,1163,1292,1421
江门市,9.0,13.0,14.0,15.0,18.0,20.0,21.0,27.0,39.0,43.0,50.0,66.0,75.0,90.0,107.0,133,173,222,292,372,483,844,1163,1571,1887,2339,2731,3122,3514,3906,4298
池州市,,1.0,1.0,1.0,3.0,3.0,5.0,6.0,7.0,9.0,10.0,11.0,15.0,17.0,27.0,33,37,47,64,78,114,219,315,418,510,581,669,757,845,934,1022
沈阳市,50.0,61.0,75.0,101.0,127.0,144.0,171.0,209.0,257.0,320.0,393.0,468.0,538.0,635.0,824.0,1060,1371,1814,2315,2989,4858,7416,9716,12471,14349,16992,19362,21732,24101,26471,28841
沧州市,5.0,7.0,9.0,10.0,12.0,13.0,15.0,17.0,18.0,20.0,25.0,27.0,33.0,41.0,53.0,71,92,121,153,213,272,330,468,792,1237,1440,1764,2088,2412,2736,3060
河池市,,,,,,,1.0,1.0,2.0,3.0,4.0,4.0,7.0,8.0,15.0,26,35,51,58,86,146,241,311,388,482,542,619,696,773,850,926
河源市,,,,1.0,2.0,2.0,4.0,4.0,4.0,7.0,12.0,18.0,23.0,36.0,57.0,73,102,134,182,243,363,595,805,967,1068,1351,1540,1729,1918,2107,2296
泉州市,39.0,45.0,54.0,64.0,75.0,88.0,107.0,117.0,138.0,157.0,186.0,225.0,277.0,344.0,465.0,643,843,1081,1426,1924,2883,4264,5683,7603,9658,11070,12824,14579,16333,18088,19842
泰安市,4.0,8.0,13.0,17.0,20.0,26.0,37.0,48.0,53.0,61.0,69.0,84.0,101.0,121.0,163.0,235,304,397,534,731,1138,2021,2848,3814,4225,5695,6640,7586,8532,9477,10423
泰州市,7.0,10.0,13.0,18.0,23.0,32.0,35.0,40.0,47.0,59.0,67.0,79.0,94.0,105.0,130.0,171,217,278,367,482,972,1506,1905,2442,2787,3403,3888,4373,4858,5344,5829
泸州市,2.0,3.0,4.0,5.0,6.0,10.0,12.0,14.0,15.0,21.0,25.0,29.0,34.0,44.0,63.0,79,100,135,182,247,386,572,852,1076,1424,1491,1698,1905,2112,2320,2527
洛阳市,9.0,11.0,15.0,21.0,22.0,25.0,29.0,35.0,43.0,46.0,52.0,71.0,87.0,104.0,152.0,226,310,422,565,760,1084,1951,2728,3631,4362,4977,5715,6452,7190,7927,8665
济南市,74.0,92.0,127.0,165.0,216.0,264.0,341.0,425.0,500.0,593.0,721.0,880.0,1045.0,1298.0,1756.0,2327,2987,3814,4894,6626,10365,17010,22422,28254,31170,38935,44430,49924,55419,60913,66408
济宁市,13.0,16.0,17.0,24.0,29.0,42.0,51.0,60.0,67.0,84.0,101.0,118.0,137.0,175.0,266.0,350,479,632,823,1105,1761,3024,4101,5219,5894,7259,8295,9330,10366,11402,12438
海东市,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,9,15,27,36,47,75,139,185,209,242,305,348,391,435,478,522
海口市,32.0,40.0,46.0,61.0,73.0,100.0,118.0,149.0,181.0,222.0,281.0,344.0,393.0,496.0,644.0,830,1121,1406,1904,2924,6911,14719,21983,31365,38561,48505,57196,65888,74580,83271,91963
淄博市,17.0,23.0,28.0,38.0,47.0,55.0,66.0,73.0,85.0,101.0,113.0,125.0,146.0,172.0,225.0,306,410,515,689,930,1440,2410,3230,4089,4547,5663,6474,7285,8095,8906,9717
淮北市,1.0,1.0,1.0,2.0,3.0,4.0,4.0,8.0,8.0,8.0,11.0,14.0,19.0,27.0,35.0,48,64,74,99,127,178,357,540,734,890,1122,1316,1510,1704,1898,2092
淮南市,1.0,2.0,2.0,5.0,6.0,7.0,8.0,9.0,12.0,18.0,19.0,22.0,27.0,31.0,35.0,47,66,87,120,162,225,393,568,847,1008,1390,1663,1936,2209,2482,2755
淮安市,5.0,8.0,9.0,10.0,13.0,13.0,15.0,20.0,25.0,30.0,35.0,44.0,52.0,68.0,93.0,130,199,262,330,433,912,1451,1987,2665,3302,3978,4639,5300,5961,6622,7282
深圳市,162.0,222.0,267.0,359.0,486.0,629.0,788.0,944.0,1107.0,1354.0,1691.0,2130.0,2699.0,3959.0,5592.0,7816,10740,14132,17869,22125,28399,43678,60964,81820,103828,123464,144295,165127,185958,206789,227620
清远市,,,,1.0,3.0,3.0,4.0,7.0,12.0,15.0,17.0,20.0,24.0,26.0,29.0,36,50,63,85,117,182,299,427,596,783,934,1103,1272,1441,1610,1779
温州市,61.0,75.0,89.0,97.0,111.0,124.0,144.0,170.0,191.0,222.0,274.0,333.0,385.0,446.0,548.0,690,859,1084,1407,1912,3662,5162,6612,8403,9633,11523,13116,14709,16303,17896,19489
渭南市,3.0,4.0,5.0,5.0,5.0,5.0,7.0,10.0,11.0,14.0,18.0,23.0,28.0,35.0,45.0,64,82,116,169,210,354,562,1357,1581,1860,2168,2461,2754,3048,3341,3634
湖州市,11.0,18.0,24.0,30.0,32.0,35.0,43.0,45.0,52.0,62.0,72.0,82.0,98.0,118.0,148.0,189,246,318,465,635,1256,1975,2684,3242,3679,4615,5279,5944,6608,7272,7936
湘潭市,3.0,4.0,7.0,9.0,10.0,11.0,12.0,14.0,17.0,20.0,23.0,27.0,31.0,38.0,59.0,69,87,113,139,170,229,326,489,687,938,1083,1281,1479,1677,1875,2073
湛江市,5.0,7.0,9.0,12.0,16.0,21.0,24.0,31.0,34.0,43.0,59.0,68.0,82.0,93.0,117.0,137,176,232,302,385,533,825,1187,1555,1961,2291,2660,3028,3396,3764,4133
滁州市,1.0,1.0,3.0,3.0,5.0,7.0,8.0,10.0,11.0,14.0,19.0,22.0,27.0,34.0,49.0,80,99,124,168,246,347,618,982,1367,1654,2138,2524,2910,3296,3682,4068
滨州市,3.0,5.0,5.0,8.0,13.0,16.0,18.0,22.0,27.0,32.0,38.0,54.0,71.0,87.0,121.0,172,248,333,424,573,907,1558,2353,3155,3354,4769,5580,6391,7201,8012,8823
漯河市,1.0,1.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0,8.0,9.0,11.0,14.0,18.0,29,46,71,104,142,190,361,471,681,995,913,1049,1184,1320,1456,1592
漳州市,19.0,21.0,24.0,30.0,38.0,42.0,51.0,56.0,65.0,77.0,90.0,104.0,128.0,142.0,197.0,275,361,469,683,1018,1447,2051,2705,3441,4179,4647,5251,5854,6457,7060,7663
潍坊市,10.0,15.0,20.0,26.0,38.0,43.0,49.0,57.0,67.0,76.0,93.0,116.0,150.0,185.0,285.0,390,530,659,918,1311,2193,3954,5608,7258,8148,10608,12284,13959,15634,17310,18985
潮州市,4.0,4.0,4.0,5.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,18.0,23.0,27.0,32,41,55,72,88,148,302,414,550,646,776,895,1014,1133,1252,1371
濮阳市,3.0,4.0,4.0,4.0,4.0,6.0,9.0,9.0,11.0,12.0,12.0,16.0,19.0,24.0,31.0,38,53,69,88,134,202,430,622,939,1238,1502,1792,2082,2372,2662,2952
烟台市,16.0,25.0,38.0,49.0,60.0,68.0,84.0,101.0,120.0,143.0,176.0,212.0,248.0,293.0,404.0,514,680,868,1096,1487,2431,3916,5311,6990,7509,9529,10906,12284,13662,15039,16417
焦作市,,3.0,3.0,5.0,6.0,7.0,8.0,11.0,11.0,14.0,18.0,20.0,22.0,24.0,34.0,50,67,91,128,158,242,461,647,875,1083,1212,1396,1580,1764,1948,2132
牡丹江市,,1.0,1.0,3.0,4.0,4.0,5.0,8.0,9.0,13.0,16.0,18.0,22.0,25.0,36.0,45,50,63,84,110,159,231,316,438,532,682,804,926,1048,1170,1292
玉林市,5.0,5.0,5.0,7.0,7.0,8.0,9.0,9.0,11.0,13.0,17.0,23.0,29.0,30.0,44.0,64,94,129,167,218,399,637,871,1102,1301,1541,1765,1989,2213,2437,2661
玉溪市,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,9.0,10.0,10.0,17.0,25,30,42,56,64,77,135,221,354,503,620,753,886,1019,1152,1285
珠海市,69.0,86.0,107.0,130.0,152.0,174.0,219.0,252.0,285.0,325.0,383.0,444.0,518.0,649.0,843.0,1111,1435,1912,2516,3055,3924,5424,6650,8139,9291,10596,11885,13175,14464,15754,17043
白城市,,,,,,,,,1.0,3.0,3.0,4.0,5.0,8.0,9.0,11,16,22,35,43,57,89,161,215,251,301,344,387,430,473,516
白山市,,,,,,,,2.0,4.0,5.0,5.0,8.0,9.0,13.0,14.0,19,27,35,48,66,78,111,154,196,228,280,322,364,406,448,490
白银市,,,,,1.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,6.0,12.0,22.0,29,45,61,80,97,121,224,267,368,423,491,559,628,697,766,835
百色市,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,8.0,11.0,16.0,19.0,22.0,30.0,39.0,49,59,71,89,107,195,327,435,511,609,734,839,944,1049,1153,1258
益阳市,4.0,4.0,5.0,7.0,8.0,9.0,10.0,10.0,11.0,12.0,13.0,15.0,19.0,23.0,29.0,43,63,79,107,153,191,271,423,586,763,912,1075,1238,1401,1564,1727
盐城市,12.0,14.0,15.0,25.0,34.0,40.0,42.0,49.0,60.0,72.0,85.0,101.0,124.0,142.0,188.0,245,310,409,505,628,1302,2011,2600,3347,4008,4672,5346,6019,6693,7366,8040
盘锦市,,,,1.0,5.0,6.0,8.0,12.0,16.0,17.0,21.0,24.0,27.0,29.0,37.0,46,54,75,102,124,205,306,393,481,536,663,753,843,933,1023,1114
眉山市,1.0,2.0,2.0,8.0,8.0,10.0,11.0,13.0,16.0,17.0,21.0,22.0,26.0,32.0,39.0,47,61,80,104,152,217,383,530,695,922,955,1095,1235,1375,1515,1655
石嘴山市,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,7.0,8.0,11.0,12.0,15.0,23,31,37,44,62,90,142,170,197,231,272,307,342,377,412,447
石家庄市,18.0,26.0,31.0,38.0,50.0,68.0,78.0,88.0,108.0,123.0,152.0,190.0,221.0,276.0,370.0,484,648,814,1025,1274,1550,1927,2613,4276,6192,7585,9241,10898,12554,14210,15867
福州市,83.0,108.0,136.0,183.0,233.0,299.0,366.0,434.0,514.0,597.0,746.0,914.0,1111.0,1366.0,1848.0,2463,3112,3934,5197,7355,10482,14595,18297,22646,26662,28794,31941,35089,38236,41383,44531
秦皇岛市,5.0,9.0,10.0,13.0,13.0,17.0,20.0,22.0,24.0,29.0,31.0,34.0,40.0,46.0,57.0,69,86,114,135,164,195,242,375,639,935,1167,1431,1695,1959,2223,2487
绍兴市,15.0,19.0,22.0,29.0,32.0,37.0,50.0,56.0,65.0,77.0,87.0,105.0,124.0,150.0,201.0,243,303,385,545,740,1477,2288,2911,3532,4110,4997,5699,6400,7102,7804,8506
绥化市,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,7.0,10.0,19,26,34,46,60,85,146,219,331,435,555,667,779,891,1003,1115
绵阳市,5.0,8.0,12.0,19.0,26.0,32.0,38.0,44.0,54.0,68.0,87.0,99.0,120.0,145.0,220.0,303,408,517,672,939,1231,1753,2315,3084,3953,4577,5328,6078,6829,7579,8330
聊城市,4.0,6.0,8.0,11.0,13.0,15.0,20.0,24.0,26.0,30.0,38.0,45.0,55.0,70.0,96.0,136,203,309,420,605,975,1727,2353,2852,3274,4051,4638,5225,5813,6400,6987
肇庆市,5.0,6.0,8.0,9.0,10.0,12.0,13.0,15.0,21.0,26.0,30.0,35.0,41.0,47.0,60.0,76,98,127,183,253,334,532,751,1073,1274,1717,2039,2361,2683,3005,3327
自贡市,2.0,4.0,5.0,6.0,9.0,11.0,12.0,12.0,14.0,17.0,21.0,26.0,32.0,41.0,48.0,61,78,101,130,181,249,363,461,596,802,836,959,1082,1206,1329,1453
舟山市,5.0,5.0,5.0,5.0,6.0,6.0,8.0,10.0,13.0,14.0,19.0,22.0,24.0,36.0,48.0,56,72,87,127,179,359,533,711,854,946,1208,1378,1548,1719,1889,2059
芜湖市,3.0,3.0,4.0,5.0,7.0,10.0,14.0,14.0,16.0,25.0,32.0,44.0,61.0,84.0,115.0,152,208,255,345,459,895,1719,3654,4853,5435,7268,8481,9694,10906,12119,13332
苏州市,73.0,100.0,136.0,178.0,229.0,284.0,341.0,422.0,503.0,626.0,803.0,983.0,1185.0,1426.0,1826.0,2313,2901,3786,4822,6078,12094,18914,24634,30593,35121,40887,46088,51290,56491,61693,66895
茂名市,1.0,5.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,15.0,18.0,21.0,27.0,35.0,51.0,69,109,146,187,235,342,578,832,1114,1395,1678,1960,2242,2524,2806,3088
荆州市,7.0,9.0,10.0,10.0,11.0,13.0,15.0,19.0,21.0,22.0,28.0,32.0,39.0,45.0,58.0,79,111,133,178,216,305,537,786,1185,1584,1971,2366,2760,3154,3549,3943
荆门市,2.0,3.0,4.0,4.0,8.0,10.0,10.0,10.0,11.0,13.0,14.0,15.0,20.0,28.0,36.0,46,60,81,104,143,193,364,525,754,1026,1188,1408,1628,1848,2068,2288
莆田市,4.0,5.0,5.0,6.0,7.0,8.0,10.0,12.0,18.0,20.0,26.0,41.0,53.0,67.0,99.0,161,215,284,383,600,996,1574,2068,2894,3709,3901,4469,5038,5607,6176,6745
菏泽市,3.0,4.0,6.0,7.0,9.0,11.0,14.0,15.0,17.0,22.0,23.0,29.0,39.0,49.0,71.0,106,159,229,354,487,832,1878,2706,3656,4012,5250,6088,6925,7763,8601,9438
萍乡市,2.0,2.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,12.0,15.0,15.0,18.0,21.0,29.0,40,51,77,127,176,526,1048,1320,1237,1474,2030,2322,2614,2906,3198,3490
营口市,1.0,3.0,4.0,5.0,6.0,6.0,7.0,13.0,13.0,14.0,15.0,21.0,28.0,32.0,42.0,48,63,79,106,149,288,489,608,671,763,987,1123,1259,1396,1532,1669
葫芦岛市,1.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,7.0,8.0,10.0,12.0,17.0,19.0,24.0,28,35,45,67,91,169,269,343,387,426,535,609,683,757,831,905
蚌埠市,1.0,2.0,2.0,2.0,3.0,6.0,6.0,9.0,11.0,13.0,18.0,23.0,25.0,31.0,44.0,66,80,112,170,234,329,600,904,1311,1575,2125,2532,2939,3346,3753,4160
衡水市,,1.0,1.0,1.0,2.0,2.0,4.0,6.0,8.0,10.0,12.0,15.0,17.0,21.0,28.0,35,56,90,123,169,215,275,419,714,1063,1304,1599,1894,2189,2484,2779
衡阳市,2.0,2.0,3.0,3.0,7.0,8.0,11.0,15.0,18.0,19.0,23.0,27.0,32.0,36.0,49.0,62,81,110,155,226,321,545,880,1670,2162,3242,4029,4815,5602,6389,7176
衢州市,,3.0,5.0,8.0,9.0,11.0,16.0,20.0,20.0,25.0,31.0,36.0,39.0,50.0,65.0,92,114,146,192,252,484,751,983,1226,1537,1718,1963,2207,2452,2697,2941
襄阳市,4.0,5.0,8.0,9.0,9.0,12.0,15.0,22.0,33.0,43.0,54.0,65.0,75.0,103.0,143.0,177,222,289,373,480,663,1150,1722,2701,3277,4616,5577,6537,7498,8459,9420
西宁市,13.0,17.0,20.0,26.0,30.0,36.0,40.0,49.0,58.0,71.0,87.0,100.0,125.0,151.0,208.0,283,372,470,587,756,1003,1720,2246,2740,3158,3777,4298,4820,5341,5862,6383
西安市,150.0,201.0,267.0,331.0,421.0,518.0,638.0,767.0,965.0,1180.0,1459.0,1771.0,2053.0,2432.0,3191.0,4050,5058,6649,8781,11503,19343,28723,42586,54358,62325,70019,77859,85700,93540,101380,109221
许昌市,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,10.0,12.0,15.0,19.0,24.0,35.0,43.0,71,98,123,168,223,343,690,958,1295,1526,1805,2081,2357,2633,2909,3185
贵港市,3.0,5.0,5.0,6.0,8.0,8.0,8.0,8.0,9.0,10.0,13.0,17.0,19.0,25.0,35.0,47,63,82,120,166,278,389,529,627,797,867,984,1102,1219,1336,1454
贵阳市,37.0,43.0,50.0,57.0,70.0,88.0,100.0,122.0,143.0,184.0,220.0,298.0,375.0,478.0,693.0,925,1220,1568,1995,2568,3672,5671,7973,10852,13528,16267,19012,21758,24503,27248,29993
贺州市,,,,,,,,,,,,2.0,3.0,7.0,12.0,17,28,36,48,72,153,232,333,406,497,578,663,748,833,918,1002
资阳市,,,1.0,2.0,3.0,4.0,5.0,5.0,6.0,9.0,12.0,13.0,15.0,15.0,23.0,25,31,34,52,73,96,172,242,320,437,437,501,565,629,693,757
赣州市,3.0,4.0,5.0,9.0,9.0,11.0,14.0,17.0,23.0,28.0,38.0,52.0,62.0,80.0,123.0,173,242,343,496,699,1412,2248,3132,4060,4606,5687,6531,7375,8220,9064,9908
赤峰市,,1.0,2.0,2.0,3.0,3.0,4.0,5.0,8.0,10.0,14.0,18.0,26.0,29.0,49.0,69,98,128,161,197,241,414,619,869,1067,1369,1619,1869,2119,2369,2619
辽源市,,,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,12.0,13,16,21,27,35,39,66,87,110,134,147,166,186,206,226,246
辽阳市,2.0,2.0,3.0,4.0,4.0,4.0,6.0,6.0,7.0,7.0,11.0,14.0,19.0,19.0,21.0,24,33,45,55,71,138,199,228,260,292,366,413,460,507,554,600
达州市,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,7.0,8.0,11.0,13.0,21.0,30,41,57,92,145,214,328,456,610,787,918,1072,1226,1380,1534,1688
运城市,1.0,2.0,2.0,4.0,4.0,6.0,9.0,14.0,14.0,19.0,22.0,26.0,31.0,36.0,47.0,72,98,130,165,244,374,666,1707,2386,3240,3749,4431,5113,5794,6476,7157
连云港市,4.0,4.0,4.0,8.0,11.0,15.0,21.0,24.0,31.0,38.0,47.0,58.0,74.0,89.0,117.0,152,194,251,301,366,865,1416,1752,2256,2778,3198,3664,4131,4598,5065,5531
通化市,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,9.0,11.0,16,27,33,47,77,98,154,199,252,276,336,381,427,472,517,562
通辽市,,,,,,1.0,2.0,4.0,6.0,6.0,10.0,14.0,17.0,20.0,32.0,52,67,87,120,146,188,295,471,574,653,790,904,1018,1132,1246,1360
遂宁市,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,8.0,11.0,12.0,18.0,22.0,30.0,40,50,73,98,141,183,263,362,473,642,695,806,917,1028,1139,1250
遵义市,2.0,3.0,4.0,4.0,7.0,7.0,8.0,14.0,15.0,17.0,20.0,22.0,29.0,42.0,66.0,96,137,176,225,277,381,606,1098,1703,2378,2913,3518,4123,4728,5334,5939
邢台市,3.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,9.0,11.0,11.0,14.0,21.0,27,47,68,101,140,214,282,424,868,1393,1756,2200,2644,3088,3532,3976
邯郸市,2.0,2.0,2.0,5.0,5.0,6.0,7.0,8.0,9.0,18.0,22.0,24.0,27.0,39.0,64.0,81,119,159,211,273,367,483,742,1481,2593,2948,3683,4418,5153,5888,6623
邵阳市,2.0,2.0,2.0,3.0,3.0,5.0,5.0,8.0,8.0,8.0,8.0,10.0,11.0,15.0,27.0,38,49,67,92,165,214,306,494,794,1185,1388,1686,1984,2282,2580,2878
郑州市,63.0,80.0,89.0,129.0,159.0,190.0,244.0,284.0,345.0,436.0,534.0,674.0,836.0,1010.0,1463.0,2008,2630,3393,4367,5667,7947,13242,18117,23857,28835,35131,40784,46437,52090,57743,63396
郴州市,2.0,2.0,2.0,4.0,4.0,4.0,4.0,8.0,11.0,12.0,15.0,17.0,20.0,25.0,42.0,53,73,97,132,194,263,387,689,1027,1466,1703,2042,2380,2718,3057,3395
鄂尔多斯市,1.0,1.0,3.0,3.0,4.0,6.0,7.0,12.0,17.0,29.0,48.0,64.0,68.0,75.0,98.0,133,174,232,303,382,472,744,1134,1514,1897,2275,2656,3037,3418,3798,4179
鄂州市,,,1.0,3.0,4.0,4.0,5.0,6.0,9.0,10.0,12.0,16.0,17.0,23.0,29.0,39,50,61,73,95,127,227,315,436,613,661,776,890,1005,1120,1234
酒泉市,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,9.0,9.0,10.0,13.0,21.0,29.0,41.0,62,89,111,135,161,202,336,503,646,757,932,1075,1218,1361,1504,1647
重庆市,133.0,160.0,190.0,244.0,296.0,350.0,411.0,492.0,591.0,701.0,854.0,1064.0,1288.0,1579.0,2075.0,2611,3313,4157,5415,7478,13849,20647,27597,34713,39821,48944,56060,63176,70292,77408,84524
金华市,16.0,21.0,30.0,38.0,46.0,50.0,65.0,76.0,85.0,106.0,122.0,148.0,179.0,229.0,296.0,381,506,718,963,1314,2967,4508,5555,6741,7758,9586,10926,12267,13607,14947,16287
金昌市,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,15.0,21.0,24.0,28,35,43,52,66,76,105,144,177,227,243,276,309,342,375,408
钦州市,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,8.0,10.0,12.0,18.0,24.0,36,56,67,89,132,295,540,2077,2143,933,3296,3853,4411,4968,5526,6084
铁岭市,,,,,2.0,3.0,3.0,3.0,3.0,4.0,5.0,9.0,12.0,16.0,19.0,21,31,38,45,55,118,177,223,274,316,384,438,493,548,603,657
铜仁市,,,,,,,,1.0,2.0,2.0,3.0,5.0,8.0,11.0,15.0,26,38,67,90,116,162,248,436,618,762,982,1164,1346,1528,1710,1892
铜川市,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,6.0,8.0,9.0,11.0,19.0,21,28,36,53,75,126,192,244,313,366,428,487,546,606,665,725
铜陵市,1.0,1.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,7.0,12.0,14.0,17.0,21.0,29.0,33,39,49,68,90,135,221,314,502,637,871,1057,1242,1427,1613,1798
银川市,15.0,21.0,27.0,36.0,42.0,49.0,51.0,59.0,75.0,88.0,113.0,140.0,178.0,216.0,313.0,413,527,686,883,1135,1773,2774,3586,4362,4863,6033,6859,7686,8513,9340,10166
锦州市,1.0,1.0,4.0,4.0,4.0,5.0,8.0,11.0,12.0,15.0,16.0,17.0,22.0,29.0,36.0,48,59,74,104,132,200,336,441,564,618,777,887,998,1108,1219,1329
镇江市,12.0,17.0,18.0,23.0,27.0,32.0,37.0,42.0,46.0,62.0,80.0,95.0,107.0,121.0,151.0,193,243,300,393,496,1009,1546,1969,2440,2803,3431,3916,4401,4886,5370,5855
长春市,28.0,33.0,45.0,57.0,74.0,89.0,109.0,139.0,187.0,233.0,281.0,355.0,405.0,474.0,602.0,774,1010,1283,1633,2232,2880,4711,6329,8273,9624,11216,12717,14218,15720,17221,18722
长沙市,56.0,79.0,100.0,126.0,153.0,187.0,238.0,292.0,347.0,430.0,519.0,649.0,785.0,954.0,1322.0,1786,2382,3063,3994,5676,7542,10333,17047,25025,33466,40939,48913,56886,64859,72833,80806
长治市,2.0,2.0,7.0,8.0,9.0,14.0,16.0,18.0,19.0,25.0,30.0,35.0,40.0,50.0,66.0,86,107,142,202,264,367,638,934,1246,1575,1870,2182,2494,2806,3118,3430
阜新市,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,8.0,11.0,14.0,18.0,18,25,41,51,71,120,189,239,308,340,423,482,541,600,660,719
阜阳市,3.0,5.0,5.0,5.0,6.0,6.0,7.0,12.0,16.0,21.0,23.0,30.0,31.0,48.0,69.0,100,143,201,285,410,555,1087,1680,2489,3085,4102,4909,5717,6524,7331,8138
防城港市,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,7.0,8.0,8.0,11.0,19.0,23,28,40,46,55,114,189,258,341,396,478,549,621,693,764,836
