城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
包头市,3.0,7.0,10.0,13.0,16.0,19.0,25.0,31.0,35.0,44.0,54.0,64.0,75.0,93.0,130.0,171,217,267,341,421,527,767,1080,1425,1688,2113,2458,2803,3148,3494,3839
北京市,519.0,701.0,963.0,1278.0,1652.0,2082.0,2505.0,2975.0,3486.0,4199.0,4899.0,5690.0,6552.0,7591.0,9591.0,12100,15054,18313,21833,26634,32541,42123,69851,103656,130720,171290,205123,238955,272788,306621,340453
北海市,4.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,15.0,18.0,22.0,25.0,32.0,38.0,46.0,62,81,104,144,202,352,608,796,947,1071,1355,1548,1741,1935,2128,2322
十堰市,5.0,8.0,11.0,13.0,18.0,22.0,23.0,28.0,37.0,43.0,48.0,59.0,68.0,80.0,115.0,140,188,230,291,373,467,827,1164,1593,1963,2420,2838,3256,3674,4092,4510
南京市,103.0,143.0,190.0,250.0,319.0,386.0,468.0,556.0,660.0,777.0,951.0,1153.0,1349.0,1589.0,2030.0,2538,3223,4161,5412,7181,13865,21164,25945,32418,37570,43281,48837,54392,59948,65504,71059
南充市,2.0,6.0,10.0,12.0,12.0,12.0,13.0,15.0,17.0,24.0,27.0,33.0,42.0,52.0,69.0,96,140,173,227,341,495,716,974,1229,1581,1673,1895,2117,2339,2561,2783
南宁市,30.0,45.0,55.0,69.0,93.0,122.0,153.0,198.0,243.0,302.0,377.0,476.0,588.0,751.0,1039.0,1378,1800,2235,2778,3505,5324,8467,11833,14507,16421,20143,22999,25855,28710,31566,34422
南平市,1.0,1.0,3.0,3.0,7.0,7.0,8.0,9.0,12.0,15.0,19.0,27.0,34.0,46.0,62.0,80,103,136,173,216,330,507,709,957,1224,1453,1701,1949,2197,2445,2693
南昌市,28.0,30.0,42.0,52.0,64.0,75.0,91.0,116.0,134.0,167.0,208.0,256.0,315.0,388.0,524.0,688,904,1132,1442,1837,3145,5051,7147,8843,10425,12420,14225,16030,17835,19640,21445
南通市,13.0,15.0,21.0,31.0,41.0,53.0,62.0,75.0,85.0,103.0,140.0,169.0,193.0,222.0,284.0,354,441,566,736,940,1926,3054,4128,5549,6748,7688,8830,9972,11114,12256,13398
