城市,聚类,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
台州市,0,578,1283,1947,2472,3095,3742,4364,4986,5609,6231,6853,7476
合肥市,1,5808,8461,14657,20324,26012,31818,37617,43417,49217,55017,60817,66616
吉安市,0,264,605,963,1289,1650,1991,2337,2682,3028,3373,3719,4065
吉林市,0,329,397,619,822,1066,1298,1537,1776,2015,2254,2493,2732
吕梁市,0,119,166,349,510,653,783,924,1065,1207,1348,1489,1630
吴忠市,0,75,107,169,248,299,350,401,452,503,554,605,656
周口市,0,234,370,769,1122,1662,2145,2650,3155,3660,4165,4670,5175
呼伦贝尔市,0,101,128,212,323,427,531,635,739,843,947,1051,1155
呼和浩特市,0,984,1251,1965,2892,3929,4965,6001,7037,8074,9110,10146,11183
咸宁市,0,191,247,505,754,1074,1382,1695,2008,2321,2634,2947,3260
咸阳市,0,419,664,1033,1803,4524,7218,9921,12625,15328,18032,20735,23439
哈尔滨市,0,1541,2336,3512,4903,6398,7810,9254,10698,12142,13586,15030,16473
唐山市,0,562,701,876,1213,1855,2475,3102,3729,4355,4982,5609,6236
商丘市,0,157,247,568,844,1246,1604,1981,2357,2734,3110,3486,3863
商洛市,0,48,91,146,201,275,321,378,434,491,547,603,660
嘉兴市,0,1264,2341,3369,4253,5134,6101,7068,8035,9002,9969,10936,11903
嘉峪关市,0,70,88,127,167,219,270,321,373,424,475,527,578
四平市,0,63,88,140,209,261,313,365,417,469,521,573,625
固原市,0,86,113,167,227,279,331,383,435,487,539,591,643
大同市,0,146,208,379,557,714,871,1028,1185,1342,1499,1656,1813
大庆市,0,266,324,454,676,946,1215,1485,1755,2025,2295,2565,2834
大连市,0,1938,3012,4733,6434,8033,9659,11283,12907,14531,16155,17779,19403
天水市,0,140,176,271,387,502,617,732,847,962,1077,1192,1307
天津市,1,6838,12162,16934,21438,26876,32306,37738,43170,48602,54033,59465,64897
太原市,0,2124,2999,5411,7746,10171,12595,15019,17443,19867,22291,24715,27139
威海市,0,597,917,1600,2112,2680,3190,3726,4262,4799,5335,5871,6407
娄底市,0,165,212,288,520,751,982,1213,1444,1675,1906,2137,2368
孝感市,0,205,250,453,635,876,1100,1332,1564,1796,2028,2260,2492
宁德市,0,742,1041,1365,1718,2205,2571,2937,3302,3668,4034,4400,4765
宁波市,1,3167,6036,8614,10942,13109,15771,18245,20718,23192,25665,28139,30612
安庆市,0,303,431,731,1097,1549,1989,2435,2881,3326,3772,4217,4663
安康市,0,175,256,416,535,697,813,945,1077,1210,1342,1474,1607
安阳市,0,233,341,742,1126,1588,2036,2492,2947,3402,3858,4313,4768
安顺市,0,86,107,210,392,551,710,869,1028,1187,1346,1505,1664
