城市,经度,纬度,面积
辽宁省,,,148000
阜新市,,,10327
佳木斯市,,,32470
牡丹江市,,,38827
齐齐哈尔市,,,42255
大庆市,,,21205
抚顺市,,,11271
锦州市,,,10040
双鸭山市,,,22051
白山市,,,17505
本溪市,,,8414
松原市,,,22000
辽阳市,,,4743
鸡西市,,,22494
辽源市,,,5140
绥化市,,,34873
延边朝鲜族自治州,,,43329
白城市,,,25759
鹤岗市,,,14665
大兴安岭地区,,,82929
黑河市,,,66862
盘锦市,,,4065
通化市,,,15612
江苏省,,,102658
淮安市,,,10030
舟山市,,,1455
铜陵市,,,3008
阜阳市,,,10118
南平市,,,26280
宣城市,,,12313
三明市,,,22965
宁德市,,,13432
新余市,,,3160
景德镇市,,,5262
江西省,,,166900
平顶山市,,,7910
开封市,,,6240
黄石市,,,4565
鄂州市,,,1596
十堰市,,,23666
咸宁市,,,9751.53
驻马店市,,,15083
恩施土家族苗族自治州,,,24000
随州市,,,9614
韶关市,,,18413
河源市,,,15654
郴州市,,,19342
张家界市,,,9534
湛江市,,,13263
永州市,,,22259
湘西土家族苗族自治州,,,15470
汕尾市,,,4862
云浮市,,,7785
北海市,,,3989
梧州市,,,12572
防城港市,,,6232
海南省,,,35177
河池市,,,33476
三沙市,,,27
来宾市,,,13382
贵港市,,,10602
海西蒙古族藏族自治州,,,300854
玉树藏族自治州,,,267000
定西市,,,19609
黔西南布依族苗族自治州,,,16806
嘉峪关市,,,1224
和田地区,,,248946
阿勒泰地区,,,118000
金昌市,,,7549
武威市,,,32351.69
果洛藏族自治州,,,74246
张掖市,,,36552
那曲市,,,353192
甘南藏族自治州,,,36594
海东市,,,12982
六盘水市,,,9914
海南藏族自治州,,,445000
山南市,,,79254
黔东南苗族侗族自治州,,,30282
阿里地区,,,337175
陇南市,,,27839
庆阳市,,,27117
黄南藏族自治州,,,18226
昌都市,,,109817
铜仁市,,,18014
临夏回族自治州,,,7331
海北藏族自治州,,,34390
日喀则市,,,179240
毕节市,,,26849
西藏自治区,,,1202369
贵州省,,,176110.61
博尔塔拉蒙古自治州,,,272000
吐鲁番市,,,69759
攀枝花市,,,7411
自贡市,,,4372
克孜勒苏柯尔克孜自治州,,,72468
喀什地区,,,111398
塔城地区,,,94890.94
丽江市,,,20555
昌吉回族自治州,,,73660.41
遂宁市,,,5322
固原市,,,10523
德宏傣族景颇族自治州,,,11172
巴中市,,,12297
达州市,,,16588
昭通市,,,22439
哈密市,,,137222
雅安市,,,15046
甘孜藏族自治州,,,149683
阿坝藏族羌族自治州,,,83002
泸州市,,,12229
阿克苏地区,,,127817
保山市,,,19062
西双版纳傣族自治州,,,19096
迪庆藏族自治州,,,23186
吴忠市,,,16758
楚雄彝族自治州,,,28439
文山壮族苗族自治州,,,31456
临沧市,,,23621
石嘴山市,,,4074
大理白族自治州,,,28302
广安市,,,6339
曲靖市,,,28900
怒江傈僳族自治州,,,14585
凉山彝族自治州,,,60261
资阳市,,,5747
延安市,,,37031
铜川市,,,3885
商洛市,,,19587
四川省,,,485000
安康市,,,23536
雄安新区,,,1170
山西转型综合改革示范区,,,589.57
辽宁省沈抚示范区,,,0
中国（江苏）自由贸易试验区苏州片区,,,278
江西省赣江新区直管区,,,465
潜江市,,,2004
仙桃市,,,2538
神农架林区,,,3232.77
天门市,,,2622
济源市,,,1931
临高县,,,1343.33
定安县,,,1196.46
琼海市,,,1710.14
五指山市,,,1130.81
澄迈县,,,2076.28
屯昌县,,,1223.97
琼中黎族苗族自治县,,,2704.16
昌江黎族自治县,,,1620.51
陵水黎族自治县,,,1107.88
保亭黎族苗族自治县,,,1166.67
万宁市,,,1899.86
白沙黎族自治县,,,2115.66
东方市,,,2272.62
文昌市,,,2459.18
海南省洋浦经济开发区,,,114.7
乐东黎族自治县,,,2765.53
贵州省贵安新区,,,1795
图木舒克市,,,1927
可克达拉市,,,979.71
石河子市,,,62.3
白杨市,,,2034.45
双河市,,,742
阿拉尔市,,,6923.4
北屯市,,,911
昆玉市,,,1781.43
铁门关市,,,590
五家渠市,,,742
新星市,,,539
胡杨河市,,,677.94
中国（四川）自由贸易试验区,,,119.99
